#
# set of country entities
#
# format:  id(uuid),name,isa,related csv list(optional)
#

# cities with more than 100,000 inhabitants
99edc64e-42ca-4b0d-a807-d7c3271d5e61,New York,city,New York
1ce04b2e-ff84-4f27-9c38-0e12aeef5cb9,Los Angeles,city,California
b9668a93-9d06-449c-90f4-c4520491b8bb,Chicago,city,Illinois
60a64be6-1772-4f73-82b6-8c2f8ff30a10,Houston,city,Texas
68b18e7d-32f0-4550-89a4-ab6a42d1922f,Philadelphia[8],city,Pennsylvania
932fa45b-4d5e-48a0-9736-0d38aa971ef1,Phoenix,city,Arizona
c373aea8-2bf3-4bf9-b6d7-23f62efa4947,San Antonio,city,Texas
ddc0b015-cdf6-48a4-903d-7e3344fb5432,San Diego,city,California
c3738a7e-f878-41d1-8805-88d6f6fcd022,Dallas,city,Texas
1d2567c3-3e5d-4a85-bd78-75bdc244ecb5,San Jose,city,California
d1d4fed6-b222-4bc4-b085-a5141c9933d2,Austin,city,Texas
9decb7f6-a873-4330-950e-d0bc757b6219,Jacksonville,city,Florida
35aa93ce-19dc-4f91-8c70-1cfa65a57f10,San Francisco,city,California
416a0edb-bbaf-4b62-8c48-5d45b384fd61,Indianapolis,city,Indiana
82bb1853-fd50-4687-bbd2-fd8dadbab271,Columbus,city,Ohio
1fd518cb-23a8-4ecb-a42b-19fa6a650c08,Fort Worth,city,Texas
a36b8d67-b55e-432f-9352-e3b36d6d62f9,Charlotte,city,North Carolina
28727385-fba0-4444-8c40-648fff26be65,Seattle,city,Washington
315901fd-cca2-4863-a335-d2097be84108,Denver,city,Colorado
9978fadd-4e2b-4939-a5cd-e35f6f5eeb84,El Paso,city,Texas
9f25fb8b-29df-46fb-bfe2-99f44eda5ba5,Detroit,city,Michigan
4781a560-1ffd-4883-b5d8-e8f0f50a2a3e,Washington,city,District of Columbia
20e39d12-bf3c-4c3d-bcc4-b1be4cebec3a,Boston,city,Massachusetts
cd91a0b1-9d63-485a-b932-47144baefc4f,Memphis,city,Tennessee
1ce0efdc-32d5-400d-b57a-5d72b53a15af,Nashville,city,Tennessee
3efc4fc7-ebfb-4f9a-b118-6ad2e924a223,Portland,city,Oregon
41f3be97-e636-43da-bb86-22caf4d595ab,Oklahoma City,city,Oklahoma
f5c3972e-7bf6-4157-af02-cd8b1521e6bf,Las Vegas,city,Nevada
91045688-6760-4056-8fb3-392b16134a12,Baltimore,city,Maryland
ed0f6fc3-6572-4df1-9d93-2272f218d207,Louisville,city,Kentucky
d3c1fa75-24dd-4efa-a354-ada0cfd54bc5,Milwaukee,city,Wisconsin
555e24bc-a6da-4f6f-9990-d528c9c5ae66,Albuquerque,city,New Mexico
4337659b-a2d6-4721-bf66-ff7bf453c48d,Tucson,city,Arizona
066c5506-2f01-4a9a-815f-ba51fb43c361,Fresno,city,California
1a196e98-9e8b-4e65-bb54-b3fbd892e14c,Sacramento,city,California
a6cefa31-429c-4ea0-ba7c-7f621101c21d,Kansas City,city,Missouri
e4abc2fb-5830-4cc5-91a6-b0825bcb2f2c,Long Beach,city,California
5e402ed3-8ecf-41a6-9f93-fa84af523698,Mesa,city,Arizona
8173df13-d729-4c5c-b8c5-92a9a17609a6,Atlanta,city,Georgia
389b097f-53cb-4d38-b2c0-0590356163e8,Colorado Springs,city,Colorado
3969794d-4492-4681-acb7-b0598085e43c,Virginia Beach,city,Virginia
77fcfc49-c806-4c7d-a751-80d30cef9c9e,Raleigh,city,North Carolina
1c2f1b2b-4090-4ef8-afa1-20a0dd3e74e1,Omaha,city,Nebraska
3f346bcf-19b0-4aa3-8320-fbeea60606d8,Miami,city,Florida
d6a19b2b-6240-43ff-bb1e-642d0ce3e0ac,Oakland,city,California
34bd6c7c-2ac2-49b3-bb5c-2531dc8bb9d9,Minneapolis,city,Minnesota
5167f52f-5864-4124-96c0-d67bbf874ac0,Tulsa,city,Oklahoma
9b0a0a06-e866-4401-a151-a4c27e004864,Wichita,city,Kansas
a600a7bb-681b-49a9-a913-0e0233bc80d2,New Orleans,city,Louisiana
8de8fe7e-3060-412e-95c5-ff68532b93c3,Arlington,city,Texas
9fe1c702-949e-4190-af1e-53add04f2e43,Cleveland,city,Ohio
49cd8d7b-0e1f-4ec4-9c24-7760c9cca0c3,Bakersfield,city,California
d0cad8b3-84e1-4d72-98ab-c243e79e92de,Tampa,city,Florida
5002d7ad-8c20-47ef-87a3-804b6b284cbc,Aurora,city,Colorado
83a04db6-6e3a-4656-a9ae-26f1e7683178,Honolulu,city,Hawai'i
e3f63635-0c8e-4973-b4c5-4e31fb6a4877,Anaheim,city,California
8e0e41ea-ffc2-4ee2-9e8d-f79c7506ff6d,Santa Ana,city,California
cfdaab36-0dc9-4774-8a11-2e21494124df,Corpus Christi,city,Texas
0e949dcb-6431-4eca-91a4-d56bf4f09fc9,Riverside,city,California
36809ac2-47a6-4e6c-85f0-fef61ce95f1f,St. Louis,city,Missouri
4baa776a-c59f-4526-aa4a-1d8f0ad8308a,Lexington,city,Kentucky
cfe94bb8-7fbf-4fd0-bea5-613b6f633dc1,Stockton,city,California
26adfd85-b0a8-48c8-988e-8526a44200cc,Pittsburgh,city,Pennsylvania
87d967a4-07a9-4ed2-ae91-0f3a31ff04b7,Saint Paul,city,Minnesota
02d672bb-65b0-4c6e-8afd-86bd6ff383ab,Anchorage,city,Alaska
424b9cf4-c4f2-4e28-be30-b24b552da144,Cincinnati,city,Ohio
fb73c079-1be9-47ef-932c-dec7e546d69f,Henderson,city,Nevada
c99a186b-1400-43ee-a964-6a4c70d56333,Greensboro,city,North Carolina
50082d53-d216-4aad-af79-51e18c95202b,Plano,city,Texas
ae442b60-8634-4f9d-9e47-ddabd68bc77e,Newark,city,New Jersey
3e59f035-c785-418a-9dce-6a436f5a5117,Toledo,city,Ohio
3e3385e8-3fdb-4de2-a0fa-b2cacd67a10f,Lincoln,city,Nebraska
6ee05197-f0b1-4e04-9cc9-dd3237b5e541,Orlando,city,Florida
949d2c2d-7c58-4943-97d1-00bc9746a3ea,Chula Vista,city,California
ad0ed8d2-a0ef-4aea-9d1e-13a3d1a8cf65,Jersey City,city,New Jersey
f586fc78-d9f2-4bf9-8091-16fbe67a707c,Chandler,city,Arizona
60635c97-f756-42d4-94fa-e2b3fa934133,Fort Wayne,city,Indiana
3d8c988c-cb40-4e48-83e3-a172fee15769,Buffalo,city,New York
bdb3b934-1747-44c6-9884-e509034eae5c,Durham,city,North Carolina
0d756b43-7860-43d2-807f-81c123bbe0c0,St. Petersburg,city,Florida
9ae8b5ca-59a0-4d4d-abb6-5729c3636e6c,Irvine,city,California
bdb72109-2c71-4a82-aef6-62d8cc5f9683,Laredo,city,Texas
72907d16-61ef-4577-bae3-da05964b61cc,Lubbock,city,Texas
814ce485-2240-4328-8d0d-d692cd7cb53a,Madison,city,Wisconsin
8317d4af-b94f-4396-bf7f-2c31f143fe41,Gilbert,city,Arizona
8cb86885-0512-461c-a2c0-1776f2ab698f,Norfolk,city,Virginia
fc81d177-0f9e-4675-abbb-981aa84c4a8f,Reno,city,Nevada
6e940ff3-dbe1-4adb-8d6a-5920b1bb08fd,Winston–Salem,city,North Carolina
bd3819b3-4ece-45cc-9410-3a1c8dc45c86,Glendale,city,Arizona
b2f6f61b-0189-498f-8ed8-d899f287d163,Hialeah,city,Florida
686e46b1-5da0-4c1e-902b-9c7abaa67a5d,Garland,city,Texas
e69c8b4d-7fca-4cbe-b091-cc4cb6066a8a,Scottsdale,city,Arizona
50d9b668-29c1-4ea2-b479-2ab742f71d4c,Irving,city,Texas
8e12f059-dc97-4f14-9eea-518b9bcc7085,Chesapeake,city,Virginia
f3b6816d-0b67-4daa-95fc-872f3fc9965b,North Las Vegas,city,Nevada
b22ad06b-9265-427c-832b-22d34d8468f7,Fremont,city,California
748a9bed-1e61-449c-a5db-8461fbf67120,Baton Rouge,city,Louisiana
22b245b9-d0ac-4e45-b287-622a79d5568a,Richmond,city,Virginia
f2b5acab-4e52-4cb8-9f4b-e450845848bf,Boise,city,Idaho
0aa59104-d519-4ab1-8bd2-09bc90161c11,San Bernardino,city,California
