# origin specialist-lexicon
cancel:vbp|canceled:vbd|cancel:vb|canceling:vbg|canceled:vbn|cancels:vbz
mistreat:vbp|mistreated:vbd|mistreat:vb|mistreating:vbg|mistreated:vbn|mistreats:vbz
waterflood:vbp|waterflooded:vbd|waterflood:vb|waterflooding:vbg|waterflooded:vbn|waterfloods:vbz
collocate:vbp|collocated:vbd|collocate:vb|collocating:vbg|collocated:vbn|collocates:vbz
abrupt:vbp|abrupted:vbd|abrupt:vb|abrupting:vbg|abrupted:vbn|abrupts:vbz
predispose:vbp|predisposed:vbd|predispose:vb|predisposing:vbg|predisposed:vbn|predisposes:vbz
recalcify:vbp|recalcified:vbd|recalcify:vb|recalcifying:vbg|recalcified:vbn|recalcifies:vbz
salary:vbp|salaried:vbd|salary:vb|salarying:vbg|salaried:vbn|salaries:vbz
pretend:vbp|pretended:vbd|pretend:vb|pretending:vbg|pretended:vbn|pretends:vbz
pick:vbp|picked:vbd|pick:vb|picking:vbg|picked:vbn|picks:vbz
roil:vbp|roiled:vbd|roil:vb|roiling:vbg|roiled:vbn|roils:vbz
intermate:vbp|intermated:vbd|intermate:vb|intermating:vbg|intermated:vbn|intermates:vbz
intersubstitute:vbp|intersubstituted:vbd|intersubstitute:vb|intersubstituting:vbg|intersubstituted:vbn|intersubstitutes:vbz
de-skill:vbp|de-skilled:vbd|de-skill:vb|de-skilling:vbg|de-skilled:vbn|de-skills:vbz
reinsure:vbp|reinsured:vbd|reinsure:vb|reinsuring:vbg|reinsured:vbn|reinsures:vbz
re-apply:vbp|re-applied:vbd|re-apply:vb|re-applying:vbg|re-applied:vbn|re-applies:vbz
fraternize:vbp|fraternized:vbd|fraternize:vb|fraternizing:vbg|fraternized:vbn|fraternizes:vbz
re-team:vbp|re-teamed:vbd|re-team:vb|re-teaming:vbg|re-teamed:vbn|re-teams:vbz
re-tear:vbp|re-tore:vbd|re-tear:vb|re-tears:vbg|re-torn:vbn|re-tears:vbz
obstipate:vbp|obstipated:vbd|obstipate:vb|obstipating:vbg|obstipated:vbn|obstipates:vbz
snaffle:vbp|snaffled:vbd|snaffle:vb|snaffling:vbg|snaffled:vbn|snaffles:vbz
fagot:vbp|fagoted:vbd|fagot:vb|fagoting:vbg|fagoted:vbn|fagots:vbz
remap:vbp|remapped:vbd|remap:vb|remapping:vbg|remapped:vbn|remaps:vbz
compartmentalise:vbp|compartmentalised:vbd|compartmentalise:vb|compartmentalising:vbg|compartmentalised:vbn|compartmentalises:vbz
flit:vbp|flitted:vbd|flit:vb|flitting:vbg|flitted:vbn|flits:vbz
satinise:vbp|satinised:vbd|satinise:vb|satinising:vbg|satinised:vbn|satinises:vbz
turf:vbp|turfed:vbd|turf:vb|turfing:vbg|turfed:vbn|turfs:vbz
barnstorm:vbp|barnstormed:vbd|barnstorm:vb|barnstorming:vbg|barnstormed:vbn|barnstorms:vbz
